,city,country,date,lat,lon,temp,hum,clouds,wind
0,oistins,BB,1586129100,13.07,-59.53,80.6,78,40,13.87
1,saint-philippe,RE,1586129100,-21.36,55.77,69.48,78,16,5.82
2,sovetskaya,RU,1586129100,44.78,41.17,41.0,3,84,11.01
3,hofn,IS,1586129100,64.25,-15.21,45.63,87,100,18.99
4,porto novo,BJ,1586129100,6.5,2.6,82.6,80,61,8.55
5,rikitea,PF,1586129100,-23.12,-134.97,75.34,65,47,10.38
6,wanlaweyn,SO,1586129100,2.62,44.89,80.22,71,21,8.16
7,dikson,RU,1586129101,73.51,80.55,18.95,97,99,10.09
8,mataura,NZ,1586129101,-46.19,168.86,60.01,87,100,3.0
9,bud,US,1586129101,39.45,-86.18,53.17,76,90,6.93
10,mango,US,1586129101,27.98,-82.31,62.28,100,90,7.81
11,ushuaia,AR,1586128812,-54.8,-68.3,39.2,80,40,21.92
12,hasaki,JP,1586129101,35.73,140.83,51.1,40,20,10.29
13,albany,US,1586129101,42.6,-73.97,55.11,50,75,14.99
14,gravdal,NO,1586129101,68.12,13.5,31.89,88,98,20.11
15,naze,JP,1586129101,28.37,129.48,63.52,59,75,11.41
16,mahebourg,MU,1586129101,-20.41,57.7,78.08,74,40,9.17
17,hobart,AU,1586128819,-42.88,147.33,51.78,62,40,12.75
18,muskegon heights,US,1586129101,43.2,-86.24,49.55,42,1,10.29
19,iqaluit,CA,1586129101,63.75,-68.51,5.0,71,75,10.29
20,morrope,PE,1586129101,-6.54,-80.01,76.62,67,43,13.44
21,nalut,LY,1586129101,30.33,10.85,56.86,36,14,10.6
22,cape town,ZA,1586129101,-33.93,18.42,57.67,100,20,6.93
23,vaini,TO,1586129101,-21.2,-175.2,80.6,65,75,9.17
24,bredasdorp,ZA,1586129101,-34.53,20.04,60.44,63,71,13.87
25,atuona,PF,1586129101,-9.8,-139.03,81.61,76,12,14.05
26,benjamin constant,BR,1586129102,-4.38,-70.03,79.7,78,95,6.93
27,kasangulu,CD,1586129102,-4.59,15.17,78.8,69,75,13.87
28,east london,ZA,1586129102,-33.02,27.91,68.68,74,100,13.22
29,saint george,US,1586129050,37.1,-113.58,67.44,21,1,23.04
30,constitucion,CL,1586129102,-35.33,-72.42,56.32,69,0,14.65
31,busselton,AU,1586129102,-33.65,115.33,62.22,42,56,16.49
32,esperance,AU,1586129102,-33.87,121.9,57.2,82,90,8.05
33,sabang,ID,1586129102,5.89,95.32,83.37,68,77,3.47
34,yoichi,JP,1586129102,43.2,140.77,35.46,93,75,3.36
35,codrington,AU,1586129102,-38.27,141.97,57.09,61,37,6.82
36,jiexiu,CN,1586129102,37.02,111.91,54.57,32,0,4.09
37,chokurdakh,RU,1586129103,70.63,147.92,7.41,94,81,7.85
38,norman wells,CA,1586129103,65.28,-126.83,24.8,62,20,25.28
39,punta arenas,CL,1586129103,-53.15,-70.92,41.0,75,75,17.22
40,tingo maria,PE,1586129103,-9.29,-76.01,73.96,63,71,0.92
41,port elizabeth,ZA,1586129103,-33.92,25.57,64.4,77,82,19.46
42,georgetown,MY,1586129103,5.41,100.34,77.65,94,20,3.91
43,pustoshka,RU,1586129103,56.34,29.37,31.37,84,15,2.55
44,nikolskoye,RU,1586129103,59.7,30.79,27.54,86,37,2.24
45,sao filipe,CV,1586129104,14.9,-24.5,72.19,76,0,14.34
46,dolni poustevna,CZ,1586129104,50.98,14.29,44.8,45,1,11.41
47,kutum,SD,1586129104,14.2,24.67,69.28,12,15,6.85
48,lebu,CL,1586129104,-37.62,-73.65,55.2,80,0,10.18
49,chermoz,RU,1586129104,58.79,56.15,23.31,96,2,4.21
50,torbay,CA,1586129104,47.67,-52.73,26.55,79,20,4.7
51,wanning,CN,1586129104,18.8,110.4,75.63,86,55,7.0
52,kapaa,US,1586129104,22.08,-159.32,79.48,74,1,13.87
53,kangavar,IR,1586129104,34.5,47.97,48.09,28,21,0.76
54,hay river,CA,1586129104,60.82,-115.8,15.8,61,20,8.05
55,new norfolk,AU,1586129104,-42.78,147.06,51.64,54,75,12.75
56,nisia floresta,BR,1586129104,-6.09,-35.21,82.4,88,40,5.82
57,karasburg,NA,1586129104,-28.02,18.75,58.75,26,21,8.32
58,castro,BR,1586129104,-24.79,-50.01,60.98,61,10,2.77
59,sicamous,CA,1586129104,50.83,-118.99,41.0,48,90,8.05
60,geraldton,AU,1586129104,-28.77,114.6,62.4,88,0,6.93
61,sandnessjoen,NO,1586129104,66.02,12.63,39.09,80,100,5.82
62,tasiilaq,GL,1586129104,65.61,-37.64,15.8,43,100,6.93
63,batagay,RU,1586129105,67.63,134.63,17.85,90,86,6.67
64,omsukchan,RU,1586129105,62.53,155.8,16.93,84,86,6.87
65,mar del plata,AR,1586129105,-38.0,-57.56,66.83,82,81,9.66
66,rypefjord,NO,1586129105,70.63,23.67,26.6,79,40,8.05
67,paraiso,CR,1586129105,9.84,-83.87,79.7,65,40,8.05
68,union,US,1586129105,40.63,-74.27,58.95,62,40,4.09
69,whyalla,AU,1586129105,-33.03,137.58,60.8,77,90,6.93
70,hambantota,LK,1586129105,6.12,81.12,79.03,78,0,6.55
71,urla,TR,1586129105,38.32,26.76,55.4,93,75,1.12
72,gitega,BI,1586129105,-3.5,29.95,61.93,56,93,1.43
73,teya,RU,1586129105,60.38,92.63,22.59,92,93,3.85
74,broken hill,AU,1586129105,-31.95,141.43,59.0,72,40,11.41
75,caravelas,BR,1586129105,-17.71,-39.25,77.9,80,38,12.44
76,butaritari,KI,1586129105,3.07,172.79,83.14,74,25,9.69
77,fuerte olimpo,PY,1586129105,-21.04,-57.87,85.55,56,6,7.02
78,vila velha,BR,1586129105,-20.33,-40.29,77.0,73,75,6.93
79,andenes,NO,1586129105,69.31,16.12,21.04,73,83,6.93
80,stornoway,GB,1586129105,58.21,-6.39,51.89,87,100,32.21
81,dingle,PH,1586129106,11.0,122.67,80.11,70,75,9.6
82,kavieng,PG,1586129106,-2.57,150.8,83.59,73,75,8.63
83,hilo,US,1586129029,19.73,-155.09,70.65,83,90,9.17
84,provideniya,RU,1586129106,64.38,-173.3,8.6,71,100,11.18
85,mackay,AU,1586129106,-21.15,149.2,79.54,74,90,12.75
86,tarko-sale,RU,1586129106,64.92,77.78,36.0,72,100,20.58
87,hualmay,PE,1586129106,-11.1,-77.61,73.09,74,6,6.4
88,victoria,HK,1586129059,22.29,114.16,62.85,82,40,10.29
89,edd,ER,1586129106,13.93,41.69,85.51,38,0,13.35
90,hermanus,ZA,1586129106,-34.42,19.23,58.66,84,81,3.0
91,san juan,AR,1586129106,-31.54,-68.54,74.48,36,0,9.24
92,upernavik,GL,1586129106,72.79,-56.15,12.7,80,87,3.36
93,suntar,RU,1586129106,62.14,117.63,31.48,93,63,9.24
94,samarai,PG,1586129106,-10.62,150.67,83.71,62,63,11.74
95,chimoio,MZ,1586129106,-19.12,33.48,68.0,88,40,2.77
96,vila franca do campo,PT,1586129106,37.72,-25.43,59.0,87,40,5.82
97,kodiak,US,1586129106,57.79,-152.41,42.8,38,1,19.46
98,seoul,KR,1586129007,37.57,126.98,38.17,80,1,1.54
99,sur,OM,1586129106,22.57,59.53,85.44,32,0,8.55
100,ponta delgada,PT,1586129106,37.73,-25.67,59.0,87,40,5.82
101,hithadhoo,MV,1586129106,-0.6,73.08,82.65,74,4,5.59
102,yellowknife,CA,1586129107,62.46,-114.35,22.19,45,20,11.41
103,sellye,SK,1586129107,48.15,17.88,42.3,56,0,6.93
104,ilulissat,GL,1586129107,69.22,-51.1,15.8,36,0,19.46
105,cubuk,TR,1586129107,40.24,33.03,51.04,76,75,12.75
106,ulverstone,AU,1586129107,-41.15,146.17,56.26,55,20,8.99
107,lagoa,PT,1586129107,39.05,-27.98,57.6,82,98,13.69
108,avarua,CK,1586129107,-21.21,-159.78,82.4,83,100,9.17
109,souillac,MU,1586129107,-20.52,57.52,77.97,74,40,9.17
110,bathsheba,BB,1586129107,13.22,-59.52,80.6,78,40,13.87
111,severo-kurilsk,RU,1586129107,50.68,156.12,34.0,88,47,16.42
112,hammonton,US,1586129107,39.64,-74.8,62.51,51,1,11.41
113,dunedin,NZ,1586129107,-45.87,170.5,57.92,93,100,1.99
114,kaeo,NZ,1586129107,-35.1,173.78,62.01,81,96,10.0
115,takoradi,GH,1586129078,4.88,-1.76,82.24,82,4,7.11
116,kidero,RU,1586129107,42.19,45.96,35.56,51,93,0.81
117,gualeguay,AR,1586129107,-33.14,-59.31,69.71,54,99,3.06
118,honiara,SB,1586129107,-9.43,159.95,86.0,74,75,3.36
119,yanam,IN,1586129107,16.73,82.22,77.95,89,2,3.98
120,gasa,PS,1586129100,31.5,34.47,57.43,82,20,4.7
121,maceio,BR,1586128845,-9.67,-35.74,78.8,94,20,4.7
122,tahe,CN,1586129108,52.33,124.73,27.68,79,5,13.85
